# Logfile created on 2014-01-06 10:15:16 +0200 by logger.rb/36483
E, [2014-01-06T10:15:16.212128 #2244] ERROR -- : Errno::EACCES: Permission denied - /Library/Ruby/Gems/2.0.0/build_info/rake-0.9.2.2.info
I, [2014-07-07T17:18:24.261108 #31824]  INFO -- : 0:  kramdown (0.13.8) from /Library/Ruby/Gems/2.0.0/specifications/kramdown-0.13.8.gemspec
I, [2014-07-07T17:18:24.261424 #31824]  INFO -- : 0:  liquid (2.3.0) from /Library/Ruby/Gems/2.0.0/specifications/liquid-2.3.0.gemspec
I, [2014-07-07T17:18:24.261728 #31824]  INFO -- : 0:  syntax (1.0.0) from /Library/Ruby/Gems/2.0.0/specifications/syntax-1.0.0.gemspec
I, [2014-07-07T17:18:24.262046 #31824]  INFO -- : 0:  maruku (0.6.1) from /Library/Ruby/Gems/2.0.0/specifications/maruku-0.6.1.gemspec
I, [2014-07-07T17:18:24.262355 #31824]  INFO -- : 0:  posix-spawn (0.3.6) from /Library/Ruby/Gems/2.0.0/specifications/posix-spawn-0.3.6.gemspec
I, [2014-07-07T17:18:24.262665 #31824]  INFO -- : 0:  yajl-ruby (1.1.0) from /Library/Ruby/Gems/2.0.0/specifications/yajl-ruby-1.1.0.gemspec
I, [2014-07-07T17:18:24.262970 #31824]  INFO -- : 0:  pygments.rb (0.3.4) from /Library/Ruby/Gems/2.0.0/specifications/pygments.rb-0.3.4.gemspec
I, [2014-07-07T17:18:24.263308 #31824]  INFO -- : 0:  jekyll (0.12.0) from /Library/Ruby/Gems/2.0.0/specifications/jekyll-0.12.0.gemspec
I, [2014-07-07T17:18:24.263620 #31824]  INFO -- : 0:  rack (1.5.2) from /Library/Ruby/Gems/2.0.0/specifications/rack-1.5.2.gemspec
I, [2014-07-07T17:18:24.263929 #31824]  INFO -- : 0:  rack-protection (1.5.0) from /Library/Ruby/Gems/2.0.0/specifications/rack-protection-1.5.0.gemspec
I, [2014-07-07T17:18:24.264377 #31824]  INFO -- : 0:  rb-fsevent (0.9.1) from /Library/Ruby/Gems/2.0.0/specifications/rb-fsevent-0.9.1.gemspec
I, [2014-07-07T17:18:24.264721 #31824]  INFO -- : 0:  rdiscount (2.0.7.3) from /Library/Ruby/Gems/2.0.0/specifications/rdiscount-2.0.7.3.gemspec
I, [2014-07-07T17:18:24.265111 #31824]  INFO -- : 0:  rubypants (0.2.0) from /Library/Ruby/Gems/2.0.0/specifications/rubypants-0.2.0.gemspec
I, [2014-07-07T17:18:24.265484 #31824]  INFO -- : 0:  sass-globbing (1.0.0) from /Library/Ruby/Gems/2.0.0/specifications/sass-globbing-1.0.0.gemspec
I, [2014-07-07T17:18:24.265785 #31824]  INFO -- : 0:  tilt (1.3.7) from /Library/Ruby/Gems/2.0.0/specifications/tilt-1.3.7.gemspec
I, [2014-07-07T17:18:24.266081 #31824]  INFO -- : 0:  sinatra (1.4.2) from /Library/Ruby/Gems/2.0.0/specifications/sinatra-1.4.2.gemspec
I, [2014-07-07T17:18:24.266376 #31824]  INFO -- : 0:  stringex (1.4.0) from /Library/Ruby/Gems/2.0.0/specifications/stringex-1.4.0.gemspec
I, [2014-07-07T17:18:24.266663 #31824]  INFO -- : 0:  bundler (1.5.1) from /Library/Ruby/Gems/2.0.0/specifications/bundler-1.5.1.gemspec
